pattern_i,pattern_j,orig_row_i,orig_row_j,bits_i,bits_j,worst_min_swaps
82,105,232,287,011101000,100011111,6
82,115,232,307,011101000,100110011,6
82,117,232,311,011101000,100110111,6
83,97,234,277,011101010,100010101,6
83,99,234,279,011101010,100010111,6
83,103,234,285,011101010,100011101,6
83,116,234,309,011101010,100110101,6
83,128,234,341,011101010,101010101,6
83,130,234,343,011101010,101010111,6
83,162,234,437,011101010,110110101,6
84,93,240,271,011110000,100001111,6
84,113,240,303,011110000,100101111,6
84,124,240,334,011110000,101001110,6
84,149,240,399,011110000,110001111,6
85,92,241,270,011110001,100001110,6
85,124,241,334,011110001,101001110,6
85,148,241,398,011110001,110001110,6
86,88,245,266,011110101,100001010,6
86,100,245,282,011110101,100011010,6
86,110,245,298,011110101,100101010,6
100,136,282,357,100011010,101100101,6
100,172,282,485,100011010,111100101,6
100,173,282,487,100011010,111100111,6
115,123,307,332,100110011,101001100,6
115,165,307,460,100110011,111001100,6
115,166,307,462,100110011,111001110,6
125,160,338,429,101010010,110101101,6
127,155,340,419,101010100,110100011,6
128,144,341,394,101010101,110001010,6
131,156,346,421,101011010,110100101,6
132,155,348,419,101011100,110100011,6
134,153,354,413,101100010,110011101,6
141,144,373,394,101110101,110001010,6
