pattern_i,pattern_j,orig_row_i,orig_row_j,bits_i,bits_j,swaps
1,167,74,468,001001010,111010100,0
1,168,74,469,001001010,111010101,0
1,169,74,476,001001010,111011100,0
1,170,74,482,001001010,111100010,0
1,171,74,483,001001010,111100011,0
1,172,74,485,001001010,111100101,0
1,173,74,487,001001010,111100111,0
1,174,74,490,001001010,111101010,0
1,175,74,501,001001010,111110101,0
2,3,76,78,001001100,001001110,0
2,4,76,80,001001100,001010000,0
2,5,76,81,001001100,001010001,0
2,6,76,82,001001100,001010010,0
2,7,76,83,001001100,001010011,0
2,8,76,84,001001100,001010100,0
2,9,76,85,001001100,001010101,0
2,10,76,86,001001100,001010110,0
2,11,76,87,001001100,001010111,0
2,12,76,88,001001100,001011000,0
2,13,76,90,001001100,001011010,0
2,14,76,92,001001100,001011100,0
2,15,76,94,001001100,001011110,0
2,16,76,96,001001100,001100000,0
2,17,76,97,001001100,001100001,0
2,18,76,98,001001100,001100010,0
2,19,76,99,001001100,001100011,0
2,20,76,101,001001100,001100101,0
2,21,76,103,001001100,001100111,0
2,22,76,104,001001100,001101000,0
2,23,76,106,001001100,001101010,0
2,24,76,112,001001100,001110000,0
2,25,76,113,001001100,001110001,0
2,26,76,114,001001100,001110010,0
2,27,76,115,001001100,001110011,0
2,28,76,117,001001100,001110101,0
2,29,76,119,001001100,001110111,0
2,30,76,120,001001100,001111000,0
2,31,76,122,001001100,001111010,0
2,32,76,136,001001100,010001000,0
2,33,76,137,001001100,010001001,0
2,34,76,138,001001100,010001010,0
2,35,76,139,001001100,010001011,0
2,36,76,140,001001100,010001100,0
2,37,76,141,001001100,010001101,0
2,38,76,142,001001100,010001110,0
2,39,76,143,001001100,010001111,0
2,40,76,144,001001100,010010000,0
2,41,76,145,001001100,010010001,0
2,42,76,148,001001100,010010100,0
2,43,76,149,001001100,010010101,0
2,44,76,152,001001100,010011000,0
2,45,76,153,001001100,010011001,0
2,46,76,156,001001100,010011100,0
2,47,76,157,001001100,010011101,0
2,48,76,160,001001100,010100000,0
2,49,76,161,001001100,010100001,0
2,50,76,162,001001100,010100010,0
2,51,76,163,001001100,010100011,0
2,52,76,165,001001100,010100101,0
2,53,76,167,001001100,010100111,0
2,54,76,168,001001100,010101000,0
2,55,76,169,001001100,010101001,0
2,56,76,170,001001100,010101010,0
2,57,76,171,001001100,010101011,0
2,58,76,173,001001100,010101101,0
2,59,76,175,001001100,010101111,0
2,60,76,176,001001100,010110000,0
2,61,76,177,001001100,010110001,0
2,62,76,181,001001100,010110101,0
2,63,76,184,001001100,010111000,0
2,64,76,185,001001100,010111001,0
2,65,76,189,001001100,010111101,0
2,66,76,200,001001100,011001000,0
2,67,76,202,001001100,011001010,0
2,68,76,204,001001100,011001100,0
2,69,76,206,001001100,011001110,0
2,70,76,208,001001100,011010000,0
2,71,76,209,001001100,011010001,0
2,72,76,212,001001100,011010100,0
2,73,76,213,001001100,011010101,0
2,74,76,216,001001100,011011000,0
2,75,76,220,001001100,011011100,0
2,76,76,224,001001100,011100000,0
2,77,76,225,001001100,011100001,0
2,78,76,226,001001100,011100010,0
2,79,76,227,001001100,011100011,0
2,80,76,229,001001100,011100101,0
2,81,76,231,001001100,011100111,0
2,82,76,232,001001100,011101000,0
2,83,76,234,001001100,011101010,0
2,84,76,240,001001100,011110000,0
2,85,76,241,001001100,011110001,0
2,86,76,245,001001100,011110101,0
2,87,76,248,001001100,011111000,0
2,88,76,266,001001100,100001010,0
2,89,76,267,001001100,100001011,0
2,90,76,268,001001100,100001100,0
2,91,76,269,001001100,100001101,0
2,92,76,270,001001100,100001110,0
2,93,76,271,001001100,100001111,0
2,94,76,274,001001100,100010010,0
2,95,76,275,001001100,100010011,0
2,96,76,276,001001100,100010100,0
2,97,76,277,001001100,100010101,0
2,98,76,278,001001100,100010110,0
2,99,76,279,001001100,100010111,0
2,100,76,282,001001100,100011010,0
2,101,76,283,001001100,100011011,0
2,102,76,284,001001100,100011100,0
2,103,76,285,001001100,100011101,0
2,104,76,286,001001100,100011110,0
2,105,76,287,001001100,100011111,0
2,106,76,290,001001100,100100010,0
2,107,76,291,001001100,100100011,0
2,108,76,293,001001100,100100101,0
2,109,76,295,001001100,100100111,0
2,110,76,298,001001100,100101010,0
2,111,76,299,001001100,100101011,0
2,112,76,301,001001100,100101101,0
2,113,76,303,001001100,100101111,0
